iter	Logloss
0	0.6485042946
1	0.6114634837
2	0.5850262203
3	0.5659227221
4	0.5513562662
5	0.5381896235
6	0.5278675002
7	0.519581795
8	0.5130514456
9	0.5076613223
10	0.5021450065
11	0.4983423269
12	0.4957150837
13	0.4929855862
14	0.4903713312
15	0.4889790432
16	0.4873226559
17	0.4862054722
18	0.4851858375
19	0.4841809055
20	0.4828523484
21	0.482093497
22	0.4815437561
23	0.480868252
24	0.4801683003
25	0.4793021881
26	0.4788004898
27	0.4781144166
28	0.4778212418
29	0.4774557845
30	0.4768756376
31	0.4765089241
32	0.4761388861
33	0.4758671573
34	0.4755968287
35	0.4751630593
36	0.4748549385
37	0.4746489123
38	0.4744334862
39	0.4742620182
40	0.4739918796
41	0.4738071462
42	0.4736202321
43	0.4734234085
44	0.473278141
45	0.4729826046
46	0.4728876623
47	0.4726353239
48	0.4724668587
49	0.4722801968
50	0.4721688167
51	0.4720344372
52	0.471904773
53	0.4717554887
54	0.4715849939
55	0.471406972
56	0.4711576655
57	0.4709998072
58	0.4708381401
59	0.4707346146
60	0.4705718739
61	0.4703230911
62	0.4701879491
63	0.4700358472
64	0.4699286227
65	0.4698382146
66	0.4697794905
67	0.4697303029
68	0.4695807078
69	0.4695205931
70	0.4693869504
71	0.4692943919
72	0.4692326254
73	0.4691985457
74	0.4690928242
75	0.4690044799
76	0.4689352094
77	0.4688404752
78	0.4687311245
79	0.4685954896
80	0.4684669903
81	0.4684047109
82	0.4682246455
83	0.4681381219
84	0.468038501
85	0.467892396
86	0.4678073195
87	0.4677219825
88	0.4676500964
89	0.46751875
90	0.4674023079
91	0.4672652678
92	0.4671794253
93	0.4670724636
94	0.4669779472
95	0.4669276531
96	0.466859075
97	0.4668256216
98	0.4667354171
99	0.4666158842
100	0.4665268046
101	0.4664492153
102	0.4663425399
103	0.4662854497
104	0.4661420484
105	0.466086245
106	0.4659974748
107	0.4658019668
108	0.4657209619
109	0.4656381543
110	0.4656006057
111	0.4655438263
112	0.4654779142
113	0.4653808557
114	0.4652891671
115	0.4652336063
116	0.4651473983
117	0.4649774814
118	0.4649024738
119	0.4647917415
120	0.4646988029
121	0.4645215808
122	0.4644625822
123	0.4643409798
124	0.4642599056
125	0.4641968164
126	0.4641230899
127	0.4640280416
128	0.4639564833
129	0.4637892912
130	0.4637043017
131	0.4636172697
132	0.4635396197
133	0.463401257
134	0.4632761227
135	0.4632122704
136	0.4631545532
137	0.4630685592
138	0.46298739
139	0.4628533559
140	0.4627652041
141	0.4627013513
142	0.4626399077
143	0.4625072561
144	0.4624194428
145	0.4623341945
146	0.4622736449
147	0.4621821468
148	0.4620834771
149	0.4620149065
150	0.4619439965
151	0.4618212992
152	0.4617096726
153	0.4616220895
154	0.4615593967
155	0.4614824226
156	0.4613954572
157	0.4613282648
158	0.4612123133
159	0.4611609494
160	0.4610336829
161	0.4609733974
162	0.4608718199
163	0.4607621296
164	0.4606722311
165	0.4606070345
166	0.460510816
167	0.4604622318
168	0.4603209279
169	0.4602187242
170	0.4601401641
171	0.4600420635
172	0.4599665313
173	0.4598819597
174	0.4597663994
175	0.4596912106
176	0.4596221068
177	0.4595360273
178	0.4594754556
179	0.4594277555
180	0.4593336946
181	0.4592772442
182	0.4592211406
183	0.4591388754
184	0.4590404558
185	0.45898239
186	0.458922927
187	0.458829649
188	0.4587645531
189	0.4586667533
190	0.4586203604
191	0.4585231263
192	0.4584339436
193	0.4583403592
194	0.4582783964
195	0.4582015662
196	0.4581173001
197	0.458033216
198	0.457964922
199	0.4579199837
200	0.4578609729
201	0.4577498979
202	0.4576876303
203	0.4576203254
204	0.4575644059
205	0.4574870972
206	0.4574186379
207	0.4573594814
208	0.457287278
209	0.4572171861
210	0.4571561648
211	0.457076918
212	0.4570119321
213	0.4569607742
214	0.4568964938
215	0.4568252566
216	0.4567392897
217	0.4566330595
218	0.4565686147
219	0.4564806859
