iter	Passed	Remaining
0	24	24591
1	49	24929
2	76	25521
3	103	25813
4	128	25544
5	154	25525
6	179	25424
7	204	25394
8	231	25528
9	260	25745
10	287	25869
11	312	25766
12	340	25823
13	365	25774
14	392	25770
15	415	25575
16	440	25482
17	466	25476
18	491	25366
19	516	25284
20	542	25296
21	567	25238
22	593	25204
23	618	25161
24	644	25119
25	671	25146
26	696	25103
27	719	24969
28	746	25002
29	771	24935
30	796	24896
31	821	24852
32	846	24799
33	870	24745
34	896	24726
35	923	24736
36	948	24681
37	974	24677
38	998	24603
39	1025	24603
40	1051	24586
41	1077	24575
42	1103	24557
43	1128	24510
44	1153	24490
45	1178	24434
46	1203	24393
47	1227	24354
48	1254	24340
49	1280	24328
50	1305	24290
51	1331	24271
52	1357	24262
53	1383	24236
54	1407	24189
55	1432	24150
56	1458	24124
57	1483	24092
58	1508	24061
59	1532	24015
60	1557	23976
61	1585	23989
62	1612	23989
63	1637	23948
64	1661	23903
65	1686	23872
66	1725	24022
67	1765	24195
68	1790	24156
69	1814	24111
70	1841	24098
71	1868	24081
72	1893	24047
73	1918	24001
74	1942	23962
75	1967	23925
76	1993	23900
77	2017	23851
78	2044	23830
79	2070	23806
80	2097	23798
81	2122	23766
82	2146	23716
83	2173	23702
84	2199	23673
85	2224	23646
86	2250	23622
87	2276	23591
88	2302	23567
89	2327	23537
90	2358	23563
91	2384	23529
92	2410	23505
93	2436	23484
94	2463	23466
95	2490	23450
96	2520	23462
97	2545	23424
98	2569	23386
99	2595	23361
100	2621	23336
101	2646	23295
102	2671	23264
103	2696	23231
104	2722	23209
105	2748	23183
106	2775	23164
107	2799	23120
108	2826	23102
109	2855	23107
110	2880	23069
111	2905	23036
112	2927	22982
113	2952	22948
114	2977	22912
115	3001	22876
116	3028	22859
117	3055	22839
118	3080	22809
119	3106	22778
120	3132	22756
121	3157	22724
122	3183	22697
123	3208	22665
124	3234	22643
125	3260	22613
126	3283	22574
127	3309	22544
128	3334	22512
129	3357	22468
130	3381	22433
131	3404	22390
132	3431	22367
133	3456	22338
134	3483	22317
135	3507	22281
136	3534	22264
137	3559	22234
138	3586	22214
139	3612	22193
140	3639	22169
141	3663	22135
142	3687	22097
143	3714	22078
144	3739	22053
145	3764	22022
146	3789	21987
147	3815	21967
148	3839	21926
149	3865	21905
150	3892	21885
151	3916	21849
152	3943	21828
153	3967	21797
154	3992	21767
155	4021	21755
156	4048	21737
157	4073	21710
158	4097	21672
159	4123	21650
160	4148	21619
161	4175	21598
162	4200	21568
163	4228	21552
164	4254	21532
165	4282	21514
166	4310	21501
167	4336	21476
168	4362	21449
169	4385	21412
170	4411	21384
171	4436	21357
172	4460	21320
173	4486	21297
174	4510	21262
175	4532	21219
176	4556	21187
177	4583	21165
178	4607	21135
179	4632	21103
180	4659	21082
181	4683	21050
182	4707	21017
183	4734	20998
184	4761	20977
185	4785	20944
186	4811	20916
187	4836	20889
188	4860	20855
189	4885	20828
190	4911	20803
191	4938	20784
192	4966	20768
193	4991	20736
194	5017	20714
195	5043	20690
196	5069	20665
197	5094	20636
198	5122	20618
199	5148	20593
200	5173	20565
201	5197	20533
202	5223	20509
203	5249	20482
204	5275	20457
205	5300	20430
206	5324	20399
207	5349	20369
208	5378	20356
209	5407	20340
210	5432	20313
211	5469	20330
212	5496	20308
213	5523	20287
214	5547	20255
215	5572	20224
216	5597	20197
217	5622	20169
218	5647	20138
219	5673	20115
220	5699	20091
221	5725	20065
222	5752	20043
223	5777	20014
224	5804	19993
225	5830	19968
226	5856	19943
227	5882	19916
228	5908	19891
229	5934	19869
230	5959	19839
231	5985	19812
232	6012	19792
233	6037	19764
234	6067	19752
235	6093	19725
236	6117	19695
237	6147	19681
238	6174	19658
239	6200	19635
240	6228	19615
241	6255	19592
242	6279	19563
243	6306	19539
244	6333	19516
245	6361	19498
246	6389	19477
247	6416	19456
248	6444	19438
249	6471	19415
250	6498	19392
251	6524	19366
252	6550	19340
253	6574	19310
254	6600	19283
255	6624	19253
256	6648	19220
257	6674	19196
258	6700	19170
259	6725	19140
260	6749	19110
261	6772	19077
262	6797	19049
263	6824	19027
264	6851	19002
265	6876	18974
266	6901	18947
267	6928	18923
268	6954	18897
269	6977	18866
270	7002	18835
271	7026	18805
272	7053	18782
273	7078	18755
274	7103	18728
275	7130	18705
276	7156	18678
277	7181	18652
278	7205	18621
279	7230	18593
280	7255	18563
281	7279	18535
282	7304	18507
283	7330	18480
284	7356	18457
285	7382	18431
286	7410	18410
287	7437	18386
288	7463	18362
289	7487	18332
290	7513	18305
291	7537	18274
292	7564	18253
293	7590	18226
294	7616	18201
295	7641	18174
296	7668	18151
297	7694	18126
298	7719	18097
299	7745	18073
300	7773	18051
301	7798	18023
302	7821	17992
303	7845	17963
304	7874	17942
305	7900	17917
306	7925	17889
307	7950	17862
308	7976	17837
309	8004	17816
310	8029	17787
311	8052	17756
312	8078	17731
313	8103	17703
314	8130	17681
315	8154	17650
316	8177	17619
317	8205	17598
318	8231	17571
319	8256	17544
320	8281	17518
321	8307	17491
322	8334	17469
323	8361	17444
324	8385	17416
325	8410	17387
326	8435	17361
327	8460	17332
328	8483	17301
329	8509	17276
330	8532	17244
331	8557	17218
332	8582	17190
333	8606	17162
334	8631	17133
335	8656	17107
336	8682	17081
337	8709	17058
338	8733	17029
339	8757	16999
340	8784	16977
341	8808	16947
342	8832	16919
343	8856	16888
344	8880	16860
345	8909	16840
346	8934	16813
347	8960	16787
348	8986	16763
349	9014	16741
350	9039	16713
351	9064	16686
352	9088	16658
353	9113	16631
354	9140	16606
355	9165	16580
356	9191	16555
357	9219	16533
358	9244	16506
359	9267	16475
360	9291	16447
361	9317	16421
362	9344	16398
363	9377	16384
364	9402	16357
365	9425	16327
366	9450	16300
367	9474	16272
368	9499	16243
369	9524	16217
370	9551	16193
371	9577	16167
372	9602	16142
373	9627	16114
374	9654	16090
375	9680	16064
376	9707	16041
377	9733	16016
378	9758	15989
379	9784	15963
380	9811	15940
381	9836	15914
382	9861	15886
383	9885	15858
384	9910	15831
385	9937	15807
386	9964	15783
387	9988	15755
388	10014	15729
389	10040	15704
390	10065	15677
391	10090	15651
392	10115	15623
393	10138	15594
394	10162	15565
395	10188	15540
396	10215	15515
397	10242	15492
398	10267	15465
399	10290	15435
400	10315	15409
401	10340	15381
402	10366	15356
403	10391	15329
404	10415	15301
405	10440	15274
406	10463	15245
407	10489	15219
408	10515	15194
409	10546	15177
410	10570	15149
411	10595	15121
412	10620	15094
413	10646	15069
414	10670	15042
415	10697	15017
416	10722	14991
417	10750	14968
418	10776	14943
419	10802	14917
420	10827	14890
421	10851	14863
422	10879	14840
423	10904	14813
424	10930	14788
425	10956	14762
426	10981	14736
427	11005	14708
428	11030	14681
429	11055	14654
430	11081	14629
431	11107	14603
432	11130	14575
433	11155	14548
434	11180	14521
435	11203	14492
436	11228	14465
437	11253	14439
438	11279	14413
439	11303	14385
440	11329	14360
441	11354	14334
442	11381	14310
443	11407	14284
444	11432	14258
445	11457	14232
446	11483	14207
447	11507	14178
448	11533	14153
449	11557	14125
450	11584	14101
451	11607	14073
452	11633	14048
453	11657	14019
454	11682	13992
455	11705	13964
456	11732	13940
457	11760	13917
458	11785	13891
459	11812	13866
460	11836	13839
461	11863	13814
462	11888	13788
463	11911	13759
464	11936	13733
